ip,asn,asn_description,country,network_name
194.61.83.238,49171,"HYPERMEDIA-AS, RO",ro,HYPERMEDIA-SRL
76.184.49.243,11427,"TWC-11427-TEXAS, US",,RRACI
165.131.217.107,NA,NA,,NESUSA
194.76.120.149,203020,"HOSTROYALE, IN",BE,Hostroyale
64.52.175.87,16509,"AMAZON-02, US",,AMAZO-4
105.190.80.188,36925,"ASMedi, MA",MA,
220.177.112.35,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JX
151.139.141.220,NA,NA,,AMAZO-4
139.197.211.32,NA,NA,CN,MIGUVideo
103.55.171.41,NA,NA,AU,APNIC-AP
13.149.238.149,NA,NA,,XEROX-NET
221.96.29.160,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
210.137.27.179,2907,"SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",JP,YJCNET
215.235.182.26,749,"DNIC-AS-00749, US",,DNIC-NET-215
13.125.35.197,16509,"AMAZON-02, US",,AMAZON-ICN
218.184.40.187,17709,"APT Asia Pacific Telecom, TW",TW,ETWEBS-TW
218.47.114.104,4713,"OCN NTT Communications Corporation, JP",JP,PLALA
208.64.125.175,NA,NA,,NET-208-64-120-0-1
211.143.239.28,56046,"CMNET-JIANGSU-AP China Mobile communications corporation, CN",CN,CMNET-jiangsu
84.68.183.44,5378,"Vodafone, GB",GB,VODAFONE-DYN-IP
197.21.170.196,37693,"TUNISIANA, TN",TN,ORG-ATIA2-AFRINIC
186.25.161.207,6306,"TELEFONICA VENEZOLANA, C.A., VE",,186.25.160.0 - 186.25.175.255
181.90.43.244,7303,"Telecom Argentina S.A., AR",,181.90.43.0 - 181.90.43.255
148.129.41.82,7764,"CENSUSBUREAU, US",,CENSUS
44.99.249.112,7377,"UCSD, US",,AMPRNET
219.218.202.66,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,CERNET-CN
153.33.202.151,23473,"PAVLOVMEDIA, US",,TXELCOLO-RESIDENTIAL-1
48.91.36.28,NA,NA,,PRU48
74.27.250.120,7922,"COMCAST-7922, US",,COMCAST-VOIP-3
97.38.190.79,22394,"CELLCO, US",,WIRELESSDATANEWORK
179.254.90.10,8167,"V tal, BR",,NET-179-254-64-0-179-254-223-255
148.102.227.122,27759,"ACCESS HAITI S.A., HT",,148.102.128.0 - 148.102.255.255
169.190.252.120,NA,NA,,CITICORP-B-BLK3
158.107.154.213,NA,NA,,ANDERSENCORP
133.130.213.46,2514,"INFOSPHERE NTT PC Communications, Inc., JP",JP,INFOSPHERE
156.91.112.173,10695,"WAL-MART, US",,WAL-MART8
25.2.8.74,NA,NA,GB,UK-MOD-19850128
133.188.253.189,4729,"JAEA Japan Atomic Energy Agency, JP",JP,JPNIC-NET-JP-ERX
184.92.0.102,11427,"TWC-11427-TEXAS, US",,RRSW
213.81.224.23,6855,"SK-TELEKOM Slovak Telekom T-Mobile CZ, SK",SK,ST-STIP213-81-224-NET
196.143.96.227,36935,"Vodafone-, EG",EG,
37.231.55.223,47589,"KTC3G, KW",KW,VIVA-Mobile-Users
37.166.128.168,51207,"FREEM, FR",FR,FR-FREEMOBILE-20120308
222.80.183.146,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-XJ
54.189.135.172,16509,"AMAZON-02, US",,AMAZO-ZPDX8
186.188.35.201,21826,"Corporacion Telemic C.A., VE",,186.188.0.0 - 186.188.127.255
26.69.156.231,749,"DNIC-AS-00749, US",,DISANET26
143.4.110.147,11003,"PANDG, US",,PGINTERNET143
170.164.235.59,NA,NA,,SANBDNO
202.232.189.174,2497,"IIJ Internet Initiative Japan Inc., JP",JP,YAMATO-BB
46.238.19.182,35141,"A1BG_RSS, BG",BG,ILINDEN-NET-SOF
177.88.21.202,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS, BR",BR,204982
118.184.215.50,140293,"CHINATELECOM-JIANGSU-CHANGZHOU-5G-NETWORK CHINATELECOM Jiangsu province Changzhou 5G network, CN",CN,BITCOMM-CN
54.48.251.58,NA,NA,,MERCK2
194.62.140.104,198949,"RADWARE, IL",GB,AE-ODINE-20180925
46.218.62.249,15557,"LDCOMNET --- I3Dnet ---, FR",FR,F7741-00001-001
191.134.193.113,26615,"TIM SA, BR",BR,224826
87.217.194.3,12479,"UNI2-AS, ES",ES,JAZZTEL-TRIPLEPLAY
209.199.24.18,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,UK-MICROSOFT-19980212
54.231.234.151,16509,"AMAZON-02, US",,AMAZO-ZL4
16.78.237.134,16509,"AMAZON-02, US",,AMAZON-CGK
178.40.2.160,6855,"SK-TELEKOM Slovak Telekom T-Mobile CZ, SK",SK,ST-DYNBBAND-178-40
16.241.114.77,NA,NA,,HPE-15
203.33.74.147,NA,NA,AU,APNIC-AP
139.183.196.81,NA,NA,CN,DMTNET
191.13.210.107,27699,"TELEFONICA BRASIL S.A, BR",BR,341048
162.236.200.182,7018,"ATT-INTERNET4, US",,SIS-80-5-10-2013
218.168.250.135,3462,"HINET Data Communication Business Group, TW",TW,HINET-NET
63.102.185.225,701,"UUNET, US",,UUNET63
30.186.224.70,749,"DNIC-AS-00749, US",,DNIC-NET-030
20.9.93.106,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
189.52.168.220,4230,"CLARO S.A., BR",BR,474663
198.83.60.13,701,"UUNET, US",,BLK198-16-ANS
131.98.249.156,NA,NA,,ESI-PRIM
182.231.40.63,17858,"POWERVIS-AS-KR LG POWERCOMM, KR",KR,Xpeed-KR
153.37.103.203,4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,UNICOM-JS
111.93.110.81,45820,"TTSL-MEISISP Tata Teleservices ISP AS, IN",IN,TTSLISP
28.15.108.160,749,"DNIC-AS-00749, US",,DNIC-NET-028
147.250.108.80,2200,"FR-RENATER Reseau National de telecommunications pour la Technologie, FR",FR,FR-ENSTA-PARIS
33.247.176.131,749,"DNIC-AS-00749, US",,DISN-IP-LEGACY
73.67.123.163,7922,"COMCAST-7922, US",,LAKE-COUNTY-20
220.126.189.237,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
202.189.184.52,NA,NA,CN,CHINANET-GD
159.135.179.1,39921,"DE-RACKSPACE Frankfurt, Germany, GB",,RACKS-8
90.156.39.208,43939,"INTERNETIA_ETTH2-AS Noc-Bialystok, PL",PL,NETIA_NET2
219.242.178.68,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,CERNET-CN
81.148.183.231,2856,"BT-UK-AS BTnet UK Regional network, GB",GB,BT-ADSL-LNS
195.125.196.213,702,"UUNET, US",DE,SOCG
181.249.244.200,26611,"COMUNICACION CELULAR S.A. COMCEL S.A., CO",,181.240.0.0 - 181.255.255.255
192.30.239.238,NA,NA,,WIMAX-LTE-PROJECT
209.164.124.205,16509,"AMAZON-02, US",,AMAZO-4
155.122.82.20,11003,"PANDG, US",,PGINTERNET155
41.66.114.112,51265,"MASSRESPONSE-AS2 Mass Response Service GmbH, AT",AT,
169.203.13.22,22920,"BIAEDNET-INTERNET, US",,ENAN-II
105.46.56.39,37069,"MOBINIL, EG",EG,
87.165.184.17,3320,"DTAG Internet service provider operations, DE",DE,DTAG-DIAL21
183.198.0.173,24547,"CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited, CN",CN,CMNET
116.22.46.173,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-GD
211.121.187.155,4725,"ODN SoftBank Corp., JP",JP,ULTINA-CIDR-BLK-JP
195.21.87.112,3257,"GTT-BACKBONE GTT, US",GB,US-GTTCOMMUNICATIONS-19961101
89.213.207.222,197537,"WISDOM-CLOUD, SG",GB,WISDOM_CLOUD_INTERNET_TECHNOLOGY_PTE_LTD
49.156.35.159,24492,"IIT-WICAM-AS-AP WiCAM Corporation Ltd., KH",KH,Wicam
180.171.84.99,4812,"CHINANET-SH-AP China Telecom Group, CN",CN,CHINANET-SH
171.99.125.163,17552,"TRUEONLINE-AS-AP True Online, TH",TH,TRUENET-WIFI
130.136.243.51,137,"ASGARR Consortium GARR, IT",IT,BOLOGNA-CS
212.193.204.201,NA,NA,RU,RU-MSK-IX-19990512
209.168.152.245,16509,"AMAZON-02, US",,AMAZO-4
39.79.208.62,4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,UNICOM-SD
39.56.1.37,17557,"PKTELECOM-AS-PK Pakistan Telecommunication Company Limited, PK",PK,PTCLBB-PK
81.17.139.217,21437,"AVITI-AS Kharkov, Ukraine, UA",UA,TICOM-CORE
207.186.89.6,NA,NA,,ADS-17
11.119.173.97,749,"DNIC-AS-00749, US",,DODIIS
151.160.82.236,16509,"AMAZON-02, US",,AMAZO-4
163.37.165.193,NA,NA,,CITICORP-B
196.25.204.240,5713,"SAIX-NET, ZA",ZA,ORG-TSL2-AFRINIC
170.113.33.252,NA,NA,,APPRISE
179.48.43.16,271075,"fibernet wv servicos telecom ltda, BR",BR,389512
198.106.140.7,2914,"NTT-DATA-2914, US",,NTTA-198-106
215.124.17.92,749,"DNIC-AS-00749, US",,DNIC-NET-215
190.78.32.211,8048,"CANTV Servicios, Venezuela, VE",,190.78.0.0 - 190.79.255.255
39.34.186.115,141031,"CONNECT-AS-AP Connect Communication, PK",PK,PTCLBB-PK
206.6.209.181,174,"COGENT-174, US",,COGENT-206-4-14
59.196.115.2,NA,NA,CN,eGovNet
220.255.174.141,9506,"SINGTEL-FIBRE Singtel Fibre Broadband, SG",SG,SINGNET-SG
134.250.22.159,210,"WEST-NET-WEST, US",,SUUNET
17.90.77.58,714,"APPLE-ENGINEERING, US",,APPLE-WWNET
110.71.169.136,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
16.214.244.182,16509,"AMAZON-02, US",,AMAZO-4
204.186.95.104,3737,"AS-PTD, US",,WEBPTDNET
199.184.60.21,NA,NA,,SI-HQ-CBLOCK
198.236.216.171,36222,"WINDWAVE-COMMUNICATIONS, US",,OPEN-BLOCK1
81.173.9.158,NA,NA,NL,Avatrade-NL
59.106.184.29,9370,"SAKURA-B SAKURA Internet Inc., JP",JP,SAKURA-NET
132.213.144.239,376,"RISQ-AS, CA",,UQO-132-213-0-0
156.176.126.243,36992,"ETISALAT-MISR, EG",EG,
42.89.18.20,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-GS
78.23.9.246,6848,"TELENET-AS, BE",BE,TELENET
157.118.144.253,58785,"TGU-NET Tohoku Gakuin University, JP",JP,TGU-NET
126.213.95.244,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
209.139.228.32,577,"BACOM, CA",,GT-PAC-BLK2
43.20.194.18,NA,NA,CN,ALIBABA_CLOUD
167.9.65.175,NA,NA,,WWYNET
135.187.116.115,NA,NA,,ATT-135-186-195-B
40.130.56.204,7029,"WINDSTREAM, US",,WINDSTREAM-COMM
148.106.215.4,NA,NA,,CANTORFITZ
112.243.69.101,4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,UNICOM-SD
165.171.96.183,NA,NA,EU,US-SERVICENOW1-19930708
199.68.170.153,NA,NA,,FREEDOMVOICE
86.79.140.22,15557,"LDCOMNET --- I3Dnet ---, FR",FR,N9UF-PRO-9IPNET
151.151.193.16,NA,NA,,WFC-151-151
201.34.219.112,8167,"V tal, BR",BR,516466
157.100.49.112,27947,"Telconet S.A, EC",,157.100.0.0 - 157.100.255.255
201.182.61.33,267500,"DIGITAL LIFE, BR",BR,315796
185.38.166.140,62282,"RACKRAY UAB Rakrejus, LT",LT,EU-RACKRAY
134.146.18.196,3917,"SHELL-3917 Shell Information Technology International B.V. Dokter van Zeelandstraat 1 2265 BD Leidschendam the Netherlands, EU",NL,SHELL-NET-134-146
24.43.90.8,20001,"TWC-20001-PACWEST, US",,RCWE
163.40.29.226,226,"LOS-NETTOS-AS, US",,LACUSC
197.67.164.175,16637,"MTNNS-AS, ZA",ZA,
20.173.31.157,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
213.227.139.217,60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",NL,NL-LEASEWEB-20000721
125.215.74.228,7522,"STCN STNet, Incorporated, JP",JP,PIKARA
207.175.89.223,NA,NA,,GOOGL-2
215.120.232.216,749,"DNIC-AS-00749, US",,DNIC-NET-215
135.222.213.191,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,UK-MICROSOFT-19960430
185.126.224.168,9009,"M247, RO",GB,TH-LND-38
210.36.196.150,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,CERNET-CN
151.59.114.216,1267,"ASN-WINDTRE IUNET, IT",IT,WIND-EX-IUNET
200.233.28.160,22819,"Fundacao Universidade de Caxias do Sul, BR",BR,53422
36.86.7.225,7713,"TELKOMNET-AS-AP PT Telekomunikasi Indonesia, ID",ID,TLKM_BB_SERVICE_36_86
196.124.205.127,36925,"ASMedi, MA",MA,
167.66.204.6,22773,"ASN-CXA-ALL-CCI-22773-RDC, US",,MERCYSD
130.142.79.53,NA,NA,NL,SIGNIFY
192.173.159.69,398777,"PIONEER-CONNECT, US",,NET-192-173-152-0-1
99.30.235.81,7018,"ATT-INTERNET4, US",,SBC-99-30-235-80-29-2301300857
139.145.56.198,NA,NA,NO,AKER-STORD
167.226.10.210,NA,NA,,CC04
198.223.230.23,22394,"CELLCO, US",,MCICS
47.19.98.125,6128,"CABLE-NET-1, US",,CVNET-2F136200
100.22.140.193,16509,"AMAZON-02, US",,AMAZO-ZPDX
130.92.223.214,559,"SWITCH Peering requests: peering@switch.ch, CH",CH,UNIBE
62.83.115.72,12430,"VODAFONE_ES, ES",ES,ONO
178.205.47.24,28840,"TATTELECOM-AS, RU",RU,TATARBROADBANDNETS
202.204.169.187,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,BJR-CERNET
124.127.180.39,4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,RITELE
183.200.70.45,56042,"CMNET-SHANXI-AP China Mobile communications corporation, CN",CN,CMNET
97.93.153.36,20115,"CHARTER-20115, US",,NETBLK-CHARTER-NET
184.4.107.86,19901,"BRSPD-PUBLIC, US",,CENTURYLINK-LEGACY-EMBARQ-BKL-14
186.185.10.153,6306,"TELEFONICA VENEZOLANA, C.A., VE",,186.184.0.0 - 186.185.255.255
144.213.47.248,2907,"SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",JP,NIMS-NET
43.73.169.68,NA,NA,SG,ASEPL-SG
209.57.22.203,2914,"NTT-DATA-2914, US",,NTTA-209-57
223.54.40.241,9644,"SKTELECOM-NET-AS SK Telecom, KR",KR,SK-TELECOM-NET-KR
196.126.176.179,36925,"ASMedi, MA",MA,
203.147.168.191,NA,NA,SG,BYTEPLUS-SG
182.177.214.50,17557,"PKTELECOM-AS-PK Pakistan Telecommunication Company Limited, PK",PK,PTCL
184.154.114.117,32475,"SINGLEHOP-LLC, US",,SINGLEHOP
102.86.45.143,37075,"ZAINUGAS, UG",UG,
17.246.34.184,714,"APPLE-ENGINEERING, US",,APPLE-WWNET
129.6.232.168,49,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",,NIST-G
201.82.214.46,28573,"Claro NXT Telecomunicacoes Ltda, BR",BR,76338
106.157.30.74,2516,"KDDI KDDI CORPORATION, JP",JP,KDDI-NET
7.51.209.150,749,"DNIC-AS-00749, US",,DISANET7
170.167.243.113,NA,NA,,COSTCOCO
207.82.19.5,3561,"CENTURYLINK-LEGACY-SAVVIS, US",,CENTURYLINK-LEGACY-SAVVIS-BLK106
104.225.53.27,NA,NA,,NETACTUATE-MDN-02
174.181.245.194,7922,"COMCAST-7922, US",,PITTSBURGH-12
148.183.131.159,NA,NA,,NGUS
55.163.3.105,721,"DNIC-ASBLK-00721-00726, US",,CONUS-RCAS
197.161.73.91,24863,"LINKdotNET-AS, EG",EG,
196.154.31.146,36935,"Vodafone-, EG",EG,
128.104.149.116,59,"WISC-MADISON-AS, US",,WISC-HERD
215.71.229.165,721,"DNIC-ASBLK-00721-00726, US",,DNIC-NET-215
152.157.205.6,10430,"WA-K20, US",,WSIPC-NET
196.218.130.188,8452,"TE-AS TE-AS, EG",EG,ORG-TD2-AFRINIC
204.159.236.143,NA,NA,,NETBLK-ATT2
189.142.118.73,8151,"UNINET, MX",,189.142.118.0 - 189.142.118.255
218.170.20.142,3462,"HINET Data Communication Business Group, TW",TW,HINET-NET
182.173.97.57,38705,"DACOM-AS-KR KOREA DATA, KR",KR,KDATA-KR
169.167.237.243,NA,NA,,CITICORP-B-BLK2
167.203.107.182,NA,NA,GB,BARCLAYS-NA
147.19.214.55,NA,NA,,RAYTHEON-NET-147
59.163.59.241,4755,"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN",IN,TATACOMM-IN
219.107.25.50,2518,"BIGLOBE BIGLOBE Inc., JP",JP,BIGLOBE-6
189.141.154.201,8151,"UNINET, MX",,189.141.154.0 - 189.141.154.255
65.90.120.149,3356,"LEVEL3, US",,LVLT-ORG-65-88
98.74.113.222,16509,"AMAZON-02, US",,BLS-98-74-0-0-17-1106273439
185.180.201.31,47764,"VK-AS, RU",RU,RU-NETBRIDGE-20161207
179.218.27.179,28573,"Claro NXT Telecomunicacoes Ltda, BR",BR,199767
125.121.158.218,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-ZJ-HZ
91.212.139.28,208864,"WESERVE, NL",NL,NL-WESERVE
82.112.222.56,8220,"COLT COLT Technology Services Group Limited, GB",IT,NET-IT-LA-7-SRL
107.42.205.10,NA,NA,GB,UK-MICROSOFT-20101110
56.113.23.14,16509,"AMAZON-02, US",,AMAZO-4
155.198.97.122,786,"JANET Jisc Services Limited, GB",GB,ICFDDI-NET
160.25.69.191,152840,"IDNIC-BI-NET-AS-ID PT Bening Artha Lintas Data, ID",ID,IDNIC-BI-NET-ID
145.203.13.177,1101,"IP-EEND-AS IP-EEND BV, NL",NL,SURFNET-BLOCKB199
74.213.78.95,14638,"LCPRL, US",,MAYAGUEZ-NET-CPE-6
198.40.89.62,NA,NA,,MODINE-26
140.67.107.193,749,"DNIC-AS-00749, US",,DNIC-RNET-140-067
125.248.242.250,17858,"POWERVIS-AS-KR LG POWERCOMM, KR",KR,PUBNETPLUS-KR
162.37.164.255,NA,NA,,TRINITYHEALTH-MTCARMEL
207.111.150.112,27419,"BIGRIVER, US",,BRT-15
78.223.133.34,12322,"PROXAD, FR",FR,FR-PROXAD-20051003
182.37.7.186,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-SD
86.76.32.117,15557,"LDCOMNET --- I3Dnet ---, FR",FR,N9UF-DYN-DSL
80.129.242.115,3320,"DTAG Internet service provider operations, DE",DE,DTAG-DIAL16
223.86.168.250,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",CN,CMNET
199.71.238.142,46746,"SECURE-24-AS, US",,SECURE-24-DCB
198.161.192.33,NA,NA,,MSS-NET
196.177.108.22,37693,"TUNISIANA, TN",TN,
180.98.15.38,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JS
218.64.43.139,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JX
116.203.159.194,24940,"HETZNER-AS, DE",DE,CLOUD-NBG1
4.22.233.62,3356,"LEVEL3, US",,LVLT-ORG-4-8
206.61.200.38,174,"COGENT-174, US",,SPRINTLINK-SW2
32.159.40.137,NA,NA,,AMAZO-4
178.101.100.143,NA,NA,GB,UK-TM-20091118
151.199.112.59,701,"UUNET, US",,VIS-151-196
122.59.13.123,NA,NA,NZ,BBA-SPARK-NZ
102.131.193.152,37420,"UNIV-JOS, NG",NG,ORG-UoJ1-AFRINIC
131.136.200.66,3766,"SSC-299-Z-3766, CA",,DRE-TESTNET
188.209.107.47,25311,"DIGI-BE, RO",BE,Digi-Belgium-NET
190.49.165.144,22927,"Telefonica de Argentina, AR",,190.49.0.0 - 190.49.255.255
215.65.138.214,721,"DNIC-ASBLK-00721-00726, US",,DNIC-NET-215
54.83.135.30,14618,"AMAZON-AES, US",,AMAZON-2011L
138.143.144.9,721,"DNIC-ASBLK-00721-00726, US",,DISN-IP-ACCESS-1-5
220.185.189.106,136190,"CHINATELECOM-ZHEJIANG-JINHUA-IDC JINHUA, ZHEJIANG Province, P.R.China., CN",CN,CHINANET-ZJ-TZ
116.190.59.124,NA,NA,CN,UNICOM
196.79.180.76,6713,"IAM-AS, MA",MA,
199.214.218.255,393952,"GOANET, CA",,ALBERTA-1024
160.34.62.69,NA,NA,,OPC2
131.161.249.88,264403,"CMTECH Com.e Serv.de Informatica Ltda, BR",BR,494399
126.131.130.201,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
149.48.229.145,16710,"PBS, US",,PBS-NET-ONE
184.19.59.60,5650,"FRONTIER-FRTR, US",,SPINCO-BLOCK
27.35.225.41,23584,"HYROADPUSAN-AS-KR PUSAN CABLE TV SYSTEM CO., LTD., KR",KR,HCN-KR
168.237.46.110,NA,NA,,LOCKHEED-MARTIN-GLOBAL-WAN
17.26.214.131,714,"APPLE-ENGINEERING, US",,APPLE-WWNET
140.130.23.116,1659,"ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW",TW,T-YCRC.EDU.TW-NET
219.185.119.181,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTECH
204.129.41.103,13940,"SJCOE, US",,SJCOE
221.97.46.197,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
204.58.11.154,NA,NA,,SINAI
108.79.110.146,7287,"PBI-NET-BLK2, US",,SBCIS-SBIS
164.236.204.5,721,"DNIC-ASBLK-00721-00726, US",,DNIC-SUPERBLK1
92.215.47.40,3209,"VODANET International IP-Backbone of Vodafone, DE",DE,DE-ARCOR-20071017
155.63.170.85,NA,NA,,TRIMBLE
19.120.210.151,NA,NA,,FINET
30.172.90.232,749,"DNIC-AS-00749, US",,DNIC-NET-030
34.118.161.247,396982,"GOOGLE-CLOUD-PLATFORM, US",,GOOGL-2
187.223.160.77,8151,"UNINET, MX",,187.223.0.0 - 187.223.255.255
98.39.172.80,7922,"COMCAST-7922, US",,HOUSTON-CPE-21
155.89.204.58,37081,"movicel-as, AO",AO,
58.93.103.96,4713,"OCN NTT Communications Corporation, JP",JP,PLALA
44.34.104.252,7377,"UCSD, US",,AMPRNET
129.17.210.95,NA,NA,,AMAZO-4
126.27.65.176,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
50.28.116.43,53824,"LIQUIDWEB, US",,LIQUIDWEB-10
94.233.69.245,12389,"ROSTELECOM-AS PJSC Rostelecom. Technical Team, RU",RU,Macroregional_South
108.59.142.196,36315,"SERVPAC, US",,SERVPAC-NETW
146.121.56.125,NA,NA,,GCM-NET
133.97.180.237,58652,"KOCHI-U-NET Kochi University, JP",JP,JPNIC-NET-JP-ERX
28.116.63.241,749,"DNIC-AS-00749, US",,DNIC-NET-028
221.83.16.18,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
188.61.231.73,3303,"SWISSCOM Swisscom Switzerland Ltd, CH",CH,BLUEWINNET
205.93.7.140,721,"DNIC-ASBLK-00721-00726, US",,NETBLK-NIC-BLK1
23.182.167.117,NA,NA,,NET23
97.8.163.79,22394,"CELLCO, US",,WIRELESSDATANEWORK
21.149.148.11,749,"DNIC-AS-00749, US",,DNIC-SNET-021
33.2.209.218,749,"DNIC-AS-00749, US",,DISN-IP-LEGACY
161.158.173.39,NA,NA,NL,SHELL-NET-161-158
186.227.133.205,271653,"Alcom Web Service Ltda, BR",BR,414159
150.13.224.204,NA,NA,JP,JAPAN150
175.230.167.33,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
201.150.203.126,8151,"UNINET, MX",,201.150.192.0 - 201.150.207.255
166.228.38.0,NA,NA,,USL-63
2.121.87.24,5607,"BSKYB-BROADBAND-AS, GB",GB,BSKYB-BROADBAND
200.50.198.152,270474,"E.D.F DE ARAGAO TELECOMUNICACOES EIRELE - ME, BR",BR,380188
214.239.216.137,749,"DNIC-AS-00749, US",,DNIC-NET-214
137.122.39.138,25826,"UOTTAWA, CA",,UOTTAWA
191.215.211.77,7738,"V tal, BR",,GCSA-20
170.34.106.168,NA,NA,,BMW-MANUFACT
21.75.93.159,749,"DNIC-AS-00749, US",,DNIC-SNET-021
126.194.34.154,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
54.27.42.231,NA,NA,GB,UK-MICROSOFT-19920317
89.48.133.49,16509,"AMAZON-02, US",,AMAZO-4
68.121.149.83,7018,"ATT-INTERNET4, US",,SBCIS-SIS80
9.139.245.32,NA,NA,,BRIGHTSPEED-BLOCK11
15.245.55.181,16509,"AMAZON-02, US",,AT-88-Z
4.150.41.152,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
212.133.191.77,8869,"SBS-AS2, TR",TR,ATOS_MAIN_NET
158.221.210.174,16509,"AMAZON-02, US",,AT-88-Z
212.130.152.104,3292,"TDC TDC AS, DK",DK,TDC-TELEDANMARK-BREDBAANDSADSL-NET
205.151.6.142,376,"RISQ-AS, CA",,BDEB-QC-CA-2
184.17.86.172,5650,"FRONTIER-FRTR, US",,SPINCO-BLOCK
130.51.191.146,47054,"JETWASN, US",,SLAH22-JETW-01-2020
170.197.9.200,NA,NA,,SEALANDNET
207.221.180.218,NA,NA,,LVLT-ORG-207-221-32
47.100.160.5,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,ALISOFT
201.228.6.186,3816,"COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO",,201.228.0.0 - 201.228.127.255
210.90.197.183,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
45.255.25.188,NA,NA,CN,VOLCANO-ENGINE
77.149.67.235,15557,"LDCOMNET --- I3Dnet ---, FR",FR,SFR-USER-DATA
203.31.167.8,NA,NA,AU,APNIC-AP
70.76.18.188,6327,"SHAW, CA",,SHAW-COMM
5.69.155.245,5607,"BSKYB-BROADBAND-AS, GB",GB,BSKYB-BROADBAND
69.76.123.137,8052,"TWC-8052-PEAKVIEW, US",,RRWE
47.236.173.175,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",,AL-3
214.53.20.106,721,"DNIC-ASBLK-00721-00726, US",,DNIC-NET-214
135.229.191.198,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,UK-MICROSOFT-19960430
167.149.81.132,16509,"AMAZON-02, US",,AT-88-Z
222.59.174.127,56046,"CMNET-JIANGSU-AP China Mobile communications corporation, CN",CN,CMNET
46.179.106.11,5432,"PROXIMUS-ISP-AS, BE",BE,BE-PROXIMUS-MDE
68.33.187.179,7922,"COMCAST-7922, US",,BALTIMORE-B-1
208.113.72.101,22205,"DATAPIPE-SEA, US",,SERVEPATH-BLK3
82.121.175.38,3215,"France Telecom - Orange, FR",FR,IP2000-ADSL-BAS
182.129.35.239,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-SC
160.176.203.52,36903,"MT-MPLS, MA",MA,
208.253.181.237,701,"UUNET, US",,UUNET1996B
142.231.91.160,393249,"UBC, CA",,UBCO-142-231-64
40.224.76.68,16509,"AMAZON-02, US",,AMAZO-4
184.156.163.114,22561,"CENTURYLINK-LEGACY-LIGHTCORE, US",,CENTURYLINK-LEGACY-CENTURYTEL-NETBLOCK16
124.126.139.176,4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,RITELE
